itemCode,name,imis_code,uom,quantity,boq_number,belongsto,partNumber,category,location,lastUpdated,,,,,,,,,,,,,,,
None,Manifold Gauge (Air conditioning refrigerant manifold Gauge set),001-0020-00-020039,Set.s,0,,O&M,,HVAC," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
25 mm,HVAC Duct Insulation Glass Wool,003-0055-00-055005,Sft,80,,O&M,,HVAC," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
20 mm,HVAC Duct Insulation Arma Flex,003-0055-00-055006,Sft,0,,O&M,,HVAC," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
R-22,Refrigrant Gas R-22 (Honeywell),003-0070-00-070004,Kgs,27,,O&M,,HVAC," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
,Chiller Cleaning Brush,003-0072-00-072001,"No,s",0,,O&M,,HVAC," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
"25-Kg, 2000PSi",Nitrogen Gas Cylinder,003-0070-00-070005,"No,s",0,,O&M,,HVAC," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
160-Psi,Nitrogen Gas Regulator,001-0010-00-010020,"No,s",0,,O&M,,HVAC," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
20-MM,HVAC Duct Insulation (Arma Flex),003-0055-00-055006,Ft,80,,O&M,,HVAC," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
,Copper Welding Rod,003-0003-00-003009,"No,s",0,,O&M,,HVAC," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
(595X959X300MM),"AHU Bag Filter With GI Frame,F7",002-3000-00-003017,"No,s",4,,O&M,,HVAC," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
Ledger,AHU Daily Patrol Book,,"No,s",0,,O&M,,HVAC," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
Ledger,Chiller Routing Inspection Book,,"No,s",0,,O&M,,HVAC," C&C Warehouse, Depot ",,,,,,,,,,,,,,,,
